"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг неполного изображения товара на главной странице","chromium","Wed Apr 15 03:21:35 UTC 2026","broken","Wed Apr 15 03:22:05 UTC 2026","","tests.spec.js","",""
"","30007","Баг выбора количества товара>","chromium","Wed Apr 15 03:26:12 UTC 2026","broken","Wed Apr 15 03:26:42 UTC 2026","","tests.spec.js","",""
"","6353","Баг пагинации на главной странице","chromium","Wed Apr 15 03:20:26 UTC 2026","failed","Wed Apr 15 03:20:32 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Wed Apr 15 03:24:39 UTC 2026","broken","Wed Apr 15 03:25:09 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора валюты","chromium","Wed Apr 15 03:23:07 UTC 2026","broken","Wed Apr 15 03:23:37 UTC 2026","","tests.spec.js","",""
