"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30010","Баг публикации отзыва на странице продукта","chromium","Thu Mar 26 02:56:09 UTC 2026","broken","Thu Mar 26 02:56:39 UTC 2026","","tests.spec.js","",""
"","30008","Баг выбора количества товара>","chromium","Thu Mar 26 02:57:41 UTC 2026","broken","Thu Mar 26 02:58:11 UTC 2026","","tests.spec.js","",""
"","30010","Баг выбора валюты","chromium","Thu Mar 26 02:54:37 UTC 2026","broken","Thu Mar 26 02:55:07 UTC 2026","","tests.spec.js","",""
"","30009","Баг неполного изображения товара на главной странице","chromium","Thu Mar 26 02:53:04 UTC 2026","broken","Thu Mar 26 02:53:34 UTC 2026","","tests.spec.js","",""
"","6187","Баг пагинации на главной странице","chromium","Thu Mar 26 02:51:55 UTC 2026","failed","Thu Mar 26 02:52:02 UTC 2026","","tests.spec.js","",""
