"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг выбора количества товара>","chromium","Thu Dec 18 02:08:34 UTC 2025","broken","Thu Dec 18 02:09:04 UTC 2025","","tests.spec.js","",""
"","30010","Баг неполного изображения товара на главной странице","chromium","Thu Dec 18 02:03:57 UTC 2025","broken","Thu Dec 18 02:04:27 UTC 2025","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Thu Dec 18 02:07:02 UTC 2025","broken","Thu Dec 18 02:07:32 UTC 2025","","tests.spec.js","",""
"","30008","Баг пагинации на главной странице","chromium","Thu Dec 18 02:02:25 UTC 2025","broken","Thu Dec 18 02:02:55 UTC 2025","","tests.spec.js","",""
"","30013","Баг выбора валюты","chromium","Thu Dec 18 02:05:29 UTC 2025","broken","Thu Dec 18 02:05:59 UTC 2025","","tests.spec.js","",""
