"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6315","Баг пагинации на главной странице","chromium","Wed Aug 13 02:04:39 GMT 2025","failed","Wed Aug 13 02:04:46 GMT 2025","","tests.spec.js","",""
"","9979","Баг выбора валюты","chromium","Wed Aug 13 02:06:18 GMT 2025","passed","Wed Aug 13 02:06:28 GMT 2025","","tests.spec.js","",""
"","30010","Баг публикации отзыва на странице продукта","chromium","Wed Aug 13 02:07:30 GMT 2025","broken","Wed Aug 13 02:08:00 GMT 2025","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Wed Aug 13 02:09:02 GMT 2025","broken","Wed Aug 13 02:09:32 GMT 2025","","tests.spec.js","",""
"","30010","Баг неполного изображения товара на главной странице","chromium","Wed Aug 13 02:05:48 GMT 2025","broken","Wed Aug 13 02:06:18 GMT 2025","","tests.spec.js","",""
