"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6262","Баг выбора количества товара>","chromium","Thu May 01 02:07:51 GMT 2025","passed","Thu May 01 02:07:58 GMT 2025","","tests.spec.js","",""
"","30011","Баг неполного изображения товара на главной странице","chromium","Thu May 01 02:05:38 GMT 2025","broken","Thu May 01 02:06:08 GMT 2025","","tests.spec.js","",""
"","30011","Баг публикации отзыва на странице продукта","chromium","Thu May 01 02:07:21 GMT 2025","broken","Thu May 01 02:07:51 GMT 2025","","tests.spec.js","",""
"","7757","Баг пагинации на главной странице","chromium","Thu May 01 02:04:28 GMT 2025","failed","Thu May 01 02:04:36 GMT 2025","","tests.spec.js","",""
"","10423","Баг выбора валюты","chromium","Thu May 01 02:06:09 GMT 2025","passed","Thu May 01 02:06:19 GMT 2025","","tests.spec.js","",""
