"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг выбора количества товара>","chromium","Sun May 10 03:58:53 UTC 2026","broken","Sun May 10 03:59:23 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Sun May 10 03:57:21 UTC 2026","broken","Sun May 10 03:57:51 UTC 2026","","tests.spec.js","",""
"","30008","Баг неполного изображения товара на главной странице","chromium","Sun May 10 03:54:16 UTC 2026","broken","Sun May 10 03:54:46 UTC 2026","","tests.spec.js","",""
"","6274","Баг пагинации на главной странице","chromium","Sun May 10 03:53:07 UTC 2026","failed","Sun May 10 03:53:14 UTC 2026","","tests.spec.js","",""
"","30008","Баг выбора валюты","chromium","Sun May 10 03:55:49 UTC 2026","broken","Sun May 10 03:56:19 UTC 2026","","tests.spec.js","",""
