"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг публикации отзыва на странице продукта","chromium","Sat Mar 29 01:51:54 GMT 2025","broken","Sat Mar 29 01:52:24 GMT 2025","","tests.spec.js","",""
"","7983","Баг выбора количества товара>","chromium","Sat Mar 29 01:52:25 GMT 2025","passed","Sat Mar 29 01:52:33 GMT 2025","","tests.spec.js","",""
"","10502","Баг выбора валюты","chromium","Sat Mar 29 01:50:42 GMT 2025","passed","Sat Mar 29 01:50:53 GMT 2025","","tests.spec.js","",""
"","30010","Баг неполного изображения товара на главной странице","chromium","Sat Mar 29 01:50:11 GMT 2025","broken","Sat Mar 29 01:50:41 GMT 2025","","tests.spec.js","",""
"","6657","Баг пагинации на главной странице","chromium","Sat Mar 29 01:49:02 GMT 2025","failed","Sat Mar 29 01:49:09 GMT 2025","","tests.spec.js","",""
