"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30009","Баг неполного изображения товара на главной странице","chromium","Thu Jan 23 01:41:25 GMT 2025","broken","Thu Jan 23 01:41:55 GMT 2025","","tests.spec.js","",""
"","6689","Баг выбора количества товара>","chromium","Thu Jan 23 01:43:38 GMT 2025","passed","Thu Jan 23 01:43:45 GMT 2025","","tests.spec.js","",""
"","10251","Баг выбора валюты","chromium","Thu Jan 23 01:41:56 GMT 2025","passed","Thu Jan 23 01:42:06 GMT 2025","","tests.spec.js","",""
"","6391","Баг пагинации на главной странице","chromium","Thu Jan 23 01:40:16 GMT 2025","failed","Thu Jan 23 01:40:23 GMT 2025","","tests.spec.js","",""
"","30009","Баг публикации отзыва на странице продукта","chromium","Thu Jan 23 01:43:07 GMT 2025","broken","Thu Jan 23 01:43:37 GMT 2025","","tests.spec.js","",""
