"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг выбора количества товара>","chromium","Thu Dec 25 02:12:09 UTC 2025","broken","Thu Dec 25 02:12:39 UTC 2025","","tests.spec.js","",""
"","6119","Баг пагинации на главной странице","chromium","Thu Dec 25 02:06:23 UTC 2025","failed","Thu Dec 25 02:06:29 UTC 2025","","tests.spec.js","",""
"","30008","Баг неполного изображения товара на главной странице","chromium","Thu Dec 25 02:07:31 UTC 2025","broken","Thu Dec 25 02:08:01 UTC 2025","","tests.spec.js","",""
"","30021","Баг выбора валюты","chromium","Thu Dec 25 02:09:04 UTC 2025","broken","Thu Dec 25 02:09:34 UTC 2025","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Thu Dec 25 02:10:36 UTC 2025","broken","Thu Dec 25 02:11:06 UTC 2025","","tests.spec.js","",""
