"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг публикации отзыва на странице продукта","chromium","Mon Jan 06 01:49:55 GMT 2025","broken","Mon Jan 06 01:50:25 GMT 2025","","tests.spec.js","",""
"","10768","Баг выбора валюты","chromium","Mon Jan 06 01:48:43 GMT 2025","passed","Mon Jan 06 01:48:54 GMT 2025","","tests.spec.js","",""
"","6750","Баг выбора количества товара>","chromium","Mon Jan 06 01:50:26 GMT 2025","passed","Mon Jan 06 01:50:33 GMT 2025","","tests.spec.js","",""
"","6441","Баг пагинации на главной странице","chromium","Mon Jan 06 01:47:04 GMT 2025","failed","Mon Jan 06 01:47:10 GMT 2025","","tests.spec.js","",""
"","30009","Баг неполного изображения товара на главной странице","chromium","Mon Jan 06 01:48:13 GMT 2025","broken","Mon Jan 06 01:48:43 GMT 2025","","tests.spec.js","",""
