"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг неполного изображения товара на главной странице","chromium","Wed Jan 28 02:13:53 UTC 2026","broken","Wed Jan 28 02:14:23 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Wed Jan 28 02:16:58 UTC 2026","broken","Wed Jan 28 02:17:28 UTC 2026","","tests.spec.js","",""
"","30007","Баг выбора валюты","chromium","Wed Jan 28 02:15:26 UTC 2026","broken","Wed Jan 28 02:15:56 UTC 2026","","tests.spec.js","",""
"","6037","Баг пагинации на главной странице","chromium","Wed Jan 28 02:12:45 UTC 2026","failed","Wed Jan 28 02:12:51 UTC 2026","","tests.spec.js","",""
"","30008","Баг выбора количества товара>","chromium","Wed Jan 28 02:18:30 UTC 2026","broken","Wed Jan 28 02:19:00 UTC 2026","","tests.spec.js","",""
