"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30011","Баг неполного изображения товара на главной странице","chromium","Mon Mar 24 01:54:09 GMT 2025","broken","Mon Mar 24 01:54:39 GMT 2025","","tests.spec.js","",""
"","6636","Баг пагинации на главной странице","chromium","Mon Mar 24 01:53:00 GMT 2025","failed","Mon Mar 24 01:53:07 GMT 2025","","tests.spec.js","",""
"","11377","Баг выбора количества товара>","chromium","Mon Mar 24 01:56:22 GMT 2025","passed","Mon Mar 24 01:56:34 GMT 2025","","tests.spec.js","",""
"","30009","Баг публикации отзыва на странице продукта","chromium","Mon Mar 24 01:55:52 GMT 2025","broken","Mon Mar 24 01:56:22 GMT 2025","","tests.spec.js","",""
"","10397","Баг выбора валюты","chromium","Mon Mar 24 01:54:40 GMT 2025","passed","Mon Mar 24 01:54:50 GMT 2025","","tests.spec.js","",""
