"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30010","Баг выбора валюты","chromium","Wed Oct 15 01:57:42 UTC 2025","broken","Wed Oct 15 01:58:12 UTC 2025","","tests.spec.js","",""
"","30011","Баг неполного изображения товара на главной странице","chromium","Wed Oct 15 01:56:09 UTC 2025","broken","Wed Oct 15 01:56:40 UTC 2025","","tests.spec.js","",""
"","6660","Баг пагинации на главной странице","chromium","Wed Oct 15 01:55:01 UTC 2025","failed","Wed Oct 15 01:55:07 UTC 2025","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Wed Oct 15 02:00:46 UTC 2025","broken","Wed Oct 15 02:01:16 UTC 2025","","tests.spec.js","",""
"","30009","Баг публикации отзыва на странице продукта","chromium","Wed Oct 15 01:59:14 UTC 2025","broken","Wed Oct 15 01:59:44 UTC 2025","","tests.spec.js","",""
