"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7003","Баг пагинации на главной странице","chromium","Fri Dec 05 02:02:20 UTC 2025","failed","Fri Dec 05 02:02:27 UTC 2025","","tests.spec.js","",""
"","30007","Баг неполного изображения товара на главной странице","chromium","Fri Dec 05 02:03:29 UTC 2025","broken","Fri Dec 05 02:03:59 UTC 2025","","tests.spec.js","",""
"","30007","Баг публикации отзыва на странице продукта","chromium","Fri Dec 05 02:06:34 UTC 2025","broken","Fri Dec 05 02:07:04 UTC 2025","","tests.spec.js","",""
"","30007","Баг выбора количества товара>","chromium","Fri Dec 05 02:08:06 UTC 2025","broken","Fri Dec 05 02:08:36 UTC 2025","","tests.spec.js","",""
"","30009","Баг выбора валюты","chromium","Fri Dec 05 02:05:01 UTC 2025","broken","Fri Dec 05 02:05:31 UTC 2025","","tests.spec.js","",""
