"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30012","Баг публикации отзыва на странице продукта","chromium","Thu May 29 02:04:53 GMT 2025","broken","Thu May 29 02:05:23 GMT 2025","","tests.spec.js","",""
"","30013","Баг неполного изображения товара на главной странице","chromium","Thu May 29 02:03:11 GMT 2025","broken","Thu May 29 02:03:41 GMT 2025","","tests.spec.js","",""
"","6668","Баг пагинации на главной странице","chromium","Thu May 29 02:02:02 GMT 2025","failed","Thu May 29 02:02:08 GMT 2025","","tests.spec.js","",""
"","8863","Баг выбора количества товара>","chromium","Thu May 29 02:05:24 GMT 2025","passed","Thu May 29 02:05:33 GMT 2025","","tests.spec.js","",""
"","10334","Баг выбора валюты","chromium","Thu May 29 02:03:41 GMT 2025","passed","Thu May 29 02:03:52 GMT 2025","","tests.spec.js","",""
