"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30010","Баг выбора валюты","chromium","Mon Dec 01 02:27:53 UTC 2025","broken","Mon Dec 01 02:28:23 UTC 2025","","tests.spec.js","",""
"","7428","Баг пагинации на главной странице","chromium","Mon Dec 01 02:25:11 UTC 2025","failed","Mon Dec 01 02:25:18 UTC 2025","","tests.spec.js","",""
"","30007","Баг публикации отзыва на странице продукта","chromium","Mon Dec 01 02:29:25 UTC 2025","broken","Mon Dec 01 02:29:55 UTC 2025","","tests.spec.js","",""
"","30007","Баг неполного изображения товара на главной странице","chromium","Mon Dec 01 02:26:21 UTC 2025","broken","Mon Dec 01 02:26:51 UTC 2025","","tests.spec.js","",""
"","30010","Баг выбора количества товара>","chromium","Mon Dec 01 02:30:58 UTC 2025","broken","Mon Dec 01 02:31:28 UTC 2025","","tests.spec.js","",""
