"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30009","Баг неполного изображения товара на главной странице","chromium","Fri Apr 03 02:53:44 UTC 2026","broken","Fri Apr 03 02:54:14 UTC 2026","","tests.spec.js","",""
"","30007","Баг выбора количества товара>","chromium","Fri Apr 03 02:58:21 UTC 2026","broken","Fri Apr 03 02:58:51 UTC 2026","","tests.spec.js","",""
"","6291","Баг пагинации на главной странице","chromium","Fri Apr 03 02:52:35 UTC 2026","failed","Fri Apr 03 02:52:42 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора валюты","chromium","Fri Apr 03 02:55:17 UTC 2026","broken","Fri Apr 03 02:55:47 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Fri Apr 03 02:56:49 UTC 2026","broken","Fri Apr 03 02:57:19 UTC 2026","","tests.spec.js","",""
