"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6296","Баг пагинации на главной странице","chromium","Mon Oct 27 02:06:00 UTC 2025","failed","Mon Oct 27 02:06:06 UTC 2025","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Mon Oct 27 02:11:44 UTC 2025","broken","Mon Oct 27 02:12:14 UTC 2025","","tests.spec.js","",""
"","30010","Баг выбора валюты","chromium","Mon Oct 27 02:08:40 UTC 2025","broken","Mon Oct 27 02:09:10 UTC 2025","","tests.spec.js","",""
"","30011","Баг неполного изображения товара на главной странице","chromium","Mon Oct 27 02:07:08 UTC 2025","broken","Mon Oct 27 02:07:38 UTC 2025","","tests.spec.js","",""
"","30009","Баг публикации отзыва на странице продукта","chromium","Mon Oct 27 02:10:12 UTC 2025","broken","Mon Oct 27 02:10:42 UTC 2025","","tests.spec.js","",""
