"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг публикации отзыва на странице продукта","chromium","Thu Jan 16 01:42:46 GMT 2025","broken","Thu Jan 16 01:43:16 GMT 2025","","tests.spec.js","",""
"","18440","Баг выбора количества товара>","chromium","Thu Jan 16 01:43:16 GMT 2025","passed","Thu Jan 16 01:43:35 GMT 2025","","tests.spec.js","",""
"","16833","Баг выбора валюты","chromium","Thu Jan 16 01:41:28 GMT 2025","passed","Thu Jan 16 01:41:44 GMT 2025","","tests.spec.js","",""
"","30011","Баг неполного изображения товара на главной странице","chromium","Thu Jan 16 01:40:57 GMT 2025","broken","Thu Jan 16 01:41:27 GMT 2025","","tests.spec.js","",""
"","9260","Баг пагинации на главной странице","chromium","Thu Jan 16 01:39:45 GMT 2025","failed","Thu Jan 16 01:39:55 GMT 2025","","tests.spec.js","",""
