"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30009","Баг неполного изображения товара на главной странице","chromium","Sun Mar 22 02:49:34 UTC 2026","broken","Sun Mar 22 02:50:04 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Sun Mar 22 02:52:39 UTC 2026","broken","Sun Mar 22 02:53:09 UTC 2026","","tests.spec.js","",""
"","30008","Баг выбора количества товара>","chromium","Sun Mar 22 02:54:11 UTC 2026","broken","Sun Mar 22 02:54:41 UTC 2026","","tests.spec.js","",""
"","6224","Баг пагинации на главной странице","chromium","Sun Mar 22 02:48:25 UTC 2026","failed","Sun Mar 22 02:48:31 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора валюты","chromium","Sun Mar 22 02:51:06 UTC 2026","broken","Sun Mar 22 02:51:36 UTC 2026","","tests.spec.js","",""
