"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11070","Баг выбора валюты","chromium","Mon Dec 30 01:47:00 GMT 2024","passed","Mon Dec 30 01:47:12 GMT 2024","","tests.spec.js","",""
"","30012","Баг публикации отзыва на странице продукта","chromium","Mon Dec 30 01:48:13 GMT 2024","broken","Mon Dec 30 01:48:43 GMT 2024","","tests.spec.js","",""
"","6484","Баг пагинации на главной странице","chromium","Mon Dec 30 01:45:21 GMT 2024","failed","Mon Dec 30 01:45:28 GMT 2024","","tests.spec.js","",""
"","6852","Баг выбора количества товара>","chromium","Mon Dec 30 01:48:44 GMT 2024","passed","Mon Dec 30 01:48:51 GMT 2024","","tests.spec.js","",""
"","30015","Баг неполного изображения товара на главной странице","chromium","Mon Dec 30 01:46:30 GMT 2024","broken","Mon Dec 30 01:47:00 GMT 2024","","tests.spec.js","",""
