"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг неполного изображения товара на главной странице","chromium","Fri Feb 13 02:49:48 UTC 2026","broken","Fri Feb 13 02:50:18 UTC 2026","","tests.spec.js","",""
"","30010","Баг выбора валюты","chromium","Fri Feb 13 02:51:21 UTC 2026","broken","Fri Feb 13 02:51:51 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Fri Feb 13 02:52:53 UTC 2026","broken","Fri Feb 13 02:53:23 UTC 2026","","tests.spec.js","",""
"","6045","Баг пагинации на главной странице","chromium","Fri Feb 13 02:48:40 UTC 2026","failed","Fri Feb 13 02:48:46 UTC 2026","","tests.spec.js","",""
"","30008","Баг выбора количества товара>","chromium","Fri Feb 13 02:54:25 UTC 2026","broken","Fri Feb 13 02:54:55 UTC 2026","","tests.spec.js","",""
