"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30010","Баг неполного изображения товара на главной странице","chromium","Tue Feb 04 01:41:44 GMT 2025","broken","Tue Feb 04 01:42:14 GMT 2025","","tests.spec.js","",""
"","6547","Баг пагинации на главной странице","chromium","Tue Feb 04 01:40:35 GMT 2025","failed","Tue Feb 04 01:40:41 GMT 2025","","tests.spec.js","",""
"","10428","Баг выбора валюты","chromium","Tue Feb 04 01:42:14 GMT 2025","passed","Tue Feb 04 01:42:25 GMT 2025","","tests.spec.js","",""
"","30010","Баг публикации отзыва на странице продукта","chromium","Tue Feb 04 01:43:26 GMT 2025","broken","Tue Feb 04 01:43:56 GMT 2025","","tests.spec.js","",""
"","6467","Баг выбора количества товара>","chromium","Tue Feb 04 01:43:57 GMT 2025","passed","Tue Feb 04 01:44:03 GMT 2025","","tests.spec.js","",""
