"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6243","Баг пагинации на главной странице","chromium","Sat Jan 10 02:05:45 UTC 2026","failed","Sat Jan 10 02:05:52 UTC 2026","","tests.spec.js","",""
"","30008","Баг выбора количества товара>","chromium","Sat Jan 10 02:11:31 UTC 2026","broken","Sat Jan 10 02:12:01 UTC 2026","","tests.spec.js","",""
"","30010","Баг неполного изображения товара на главной странице","chromium","Sat Jan 10 02:06:54 UTC 2026","broken","Sat Jan 10 02:07:24 UTC 2026","","tests.spec.js","",""
"","30008","Баг выбора валюты","chromium","Sat Jan 10 02:08:26 UTC 2026","broken","Sat Jan 10 02:08:56 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Sat Jan 10 02:09:59 UTC 2026","broken","Sat Jan 10 02:10:29 UTC 2026","","tests.spec.js","",""
