"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30007","Баг выбора количества товара>","chromium","Mon Feb 09 02:51:39 UTC 2026","broken","Mon Feb 09 02:52:09 UTC 2026","","tests.spec.js","",""
"","30008","Баг выбора валюты","chromium","Mon Feb 09 02:48:34 UTC 2026","broken","Mon Feb 09 02:49:04 UTC 2026","","tests.spec.js","",""
"","30022","Баг неполного изображения товара на главной странице","chromium","Mon Feb 09 02:47:01 UTC 2026","broken","Mon Feb 09 02:47:31 UTC 2026","","tests.spec.js","",""
"","5929","Баг пагинации на главной странице","chromium","Mon Feb 09 02:45:53 UTC 2026","failed","Mon Feb 09 02:45:59 UTC 2026","","tests.spec.js","",""
"","30007","Баг публикации отзыва на странице продукта","chromium","Mon Feb 09 02:50:06 UTC 2026","broken","Mon Feb 09 02:50:36 UTC 2026","","tests.spec.js","",""
