"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30009","Баг публикации отзыва на странице продукта","chromium","Fri Jan 03 01:45:25 GMT 2025","broken","Fri Jan 03 01:45:55 GMT 2025","","tests.spec.js","",""
"","6659","Баг выбора количества товара>","chromium","Fri Jan 03 01:45:55 GMT 2025","passed","Fri Jan 03 01:46:02 GMT 2025","","tests.spec.js","",""
"","10032","Баг выбора валюты","chromium","Fri Jan 03 01:44:13 GMT 2025","passed","Fri Jan 03 01:44:23 GMT 2025","","tests.spec.js","",""
"","30010","Баг неполного изображения товара на главной странице","chromium","Fri Jan 03 01:43:42 GMT 2025","broken","Fri Jan 03 01:44:12 GMT 2025","","tests.spec.js","",""
"","6383","Баг пагинации на главной странице","chromium","Fri Jan 03 01:42:34 GMT 2025","failed","Fri Jan 03 01:42:40 GMT 2025","","tests.spec.js","",""
