"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг неполного изображения товара на главной странице","chromium","Sat Nov 08 01:52:18 UTC 2025","broken","Sat Nov 08 01:52:48 UTC 2025","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Sat Nov 08 01:56:54 UTC 2025","broken","Sat Nov 08 01:57:24 UTC 2025","","tests.spec.js","",""
"","30005","Баг публикации отзыва на странице продукта","chromium","Sat Nov 08 01:55:22 UTC 2025","broken","Sat Nov 08 01:55:52 UTC 2025","","tests.spec.js","",""
"","7750","Баг пагинации на главной странице","chromium","Sat Nov 08 01:51:08 UTC 2025","failed","Sat Nov 08 01:51:16 UTC 2025","","tests.spec.js","",""
"","30008","Баг выбора валюты","chromium","Sat Nov 08 01:53:50 UTC 2025","broken","Sat Nov 08 01:54:20 UTC 2025","","tests.spec.js","",""
