"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30006","Баг выбора количества товара>","chromium","Wed Feb 25 02:54:22 UTC 2026","broken","Wed Feb 25 02:54:52 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора валюты","chromium","Wed Feb 25 02:51:17 UTC 2026","broken","Wed Feb 25 02:51:47 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Wed Feb 25 02:52:49 UTC 2026","broken","Wed Feb 25 02:53:19 UTC 2026","","tests.spec.js","",""
"","5865","Баг пагинации на главной странице","chromium","Wed Feb 25 02:48:36 UTC 2026","failed","Wed Feb 25 02:48:42 UTC 2026","","tests.spec.js","",""
"","30008","Баг неполного изображения товара на главной странице","chromium","Wed Feb 25 02:49:44 UTC 2026","broken","Wed Feb 25 02:50:14 UTC 2026","","tests.spec.js","",""
