"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10157","Баг выбора валюты","chromium","Thu Mar 27 01:51:00 GMT 2025","passed","Thu Mar 27 01:51:10 GMT 2025","","tests.spec.js","",""
"","7597","Баг выбора количества товара>","chromium","Thu Mar 27 01:52:42 GMT 2025","passed","Thu Mar 27 01:52:50 GMT 2025","","tests.spec.js","",""
"","6662","Баг пагинации на главной странице","chromium","Thu Mar 27 01:49:20 GMT 2025","failed","Thu Mar 27 01:49:27 GMT 2025","","tests.spec.js","",""
"","30010","Баг публикации отзыва на странице продукта","chromium","Thu Mar 27 01:52:12 GMT 2025","broken","Thu Mar 27 01:52:42 GMT 2025","","tests.spec.js","",""
"","30012","Баг неполного изображения товара на главной странице","chromium","Thu Mar 27 01:50:29 GMT 2025","broken","Thu Mar 27 01:50:59 GMT 2025","","tests.spec.js","",""
