"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг выбора валюты","chromium","Wed Sep 24 01:53:46 UTC 2025","broken","Wed Sep 24 01:54:16 UTC 2025","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Wed Sep 24 01:56:50 UTC 2025","broken","Wed Sep 24 01:57:20 UTC 2025","","tests.spec.js","",""
"","30013","Баг неполного изображения товара на главной странице","chromium","Wed Sep 24 01:52:14 UTC 2025","broken","Wed Sep 24 01:52:44 UTC 2025","","tests.spec.js","",""
"","6284","Баг пагинации на главной странице","chromium","Wed Sep 24 01:51:06 UTC 2025","failed","Wed Sep 24 01:51:12 UTC 2025","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Wed Sep 24 01:55:18 UTC 2025","broken","Wed Sep 24 01:55:48 UTC 2025","","tests.spec.js","",""
