"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30010","Баг выбора валюты","chromium","Sat Mar 28 02:46:37 UTC 2026","broken","Sat Mar 28 02:47:07 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Sat Mar 28 02:49:41 UTC 2026","broken","Sat Mar 28 02:50:11 UTC 2026","","tests.spec.js","",""
"","30008","Баг неполного изображения товара на главной странице","chromium","Sat Mar 28 02:45:04 UTC 2026","broken","Sat Mar 28 02:45:34 UTC 2026","","tests.spec.js","",""
"","6328","Баг пагинации на главной странице","chromium","Sat Mar 28 02:43:55 UTC 2026","failed","Sat Mar 28 02:44:02 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Sat Mar 28 02:48:09 UTC 2026","broken","Sat Mar 28 02:48:39 UTC 2026","","tests.spec.js","",""
