"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11737","Баг пагинации на главной странице","chromium","Mon Oct 20 02:01:46 UTC 2025","failed","Mon Oct 20 02:01:58 UTC 2025","","tests.spec.js","",""
"","30010","Баг неполного изображения товара на главной странице","chromium","Mon Oct 20 02:03:00 UTC 2025","broken","Mon Oct 20 02:03:30 UTC 2025","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Mon Oct 20 02:07:37 UTC 2025","broken","Mon Oct 20 02:08:07 UTC 2025","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Mon Oct 20 02:06:04 UTC 2025","broken","Mon Oct 20 02:06:34 UTC 2025","","tests.spec.js","",""
"","30010","Баг выбора валюты","chromium","Mon Oct 20 02:04:32 UTC 2025","broken","Mon Oct 20 02:05:02 UTC 2025","","tests.spec.js","",""
